timestamp,By
2024-05-09 06:00:00+00:00,2.67
2024-05-09 06:01:00+00:00,2.43
2024-05-09 06:02:00+00:00,2.43
2024-05-09 06:03:00+00:00,2.44
2024-05-09 06:04:00+00:00,2.98
2024-05-09 06:05:00+00:00,2.65
2024-05-09 06:06:00+00:00,2.8
2024-05-09 06:07:00+00:00,2.22
2024-05-09 06:08:00+00:00,2.27
2024-05-09 06:09:00+00:00,1.8
2024-05-09 06:10:00+00:00,2.24
2024-05-09 06:11:00+00:00,2.83
2024-05-09 06:12:00+00:00,2.54
2024-05-09 06:13:00+00:00,1.72
2024-05-09 06:14:00+00:00,1.94
2024-05-09 06:15:00+00:00,1.64
2024-05-09 06:16:00+00:00,2.11
2024-05-09 06:17:00+00:00,2.09
2024-05-09 06:18:00+00:00,2.43
2024-05-09 06:19:00+00:00,2.35
2024-05-09 06:20:00+00:00,2.62
2024-05-09 06:21:00+00:00,2.36
2024-05-09 06:22:00+00:00,2.16
2024-05-09 06:25:00+00:00,1.86
2024-05-09 06:26:00+00:00,2.15
2024-05-09 06:27:00+00:00,2.22
2024-05-09 06:28:00+00:00,2.22
2024-05-09 06:29:00+00:00,2.2
2024-05-09 06:30:00+00:00,2.31
2024-05-09 06:31:00+00:00,2.54
2024-05-09 06:32:00+00:00,2.34
2024-05-09 06:33:00+00:00,2.61
2024-05-09 06:34:00+00:00,2.61
2024-05-09 06:35:00+00:00,2.53
2024-05-09 06:37:00+00:00,2.33
2024-05-09 06:38:00+00:00,2.44
2024-05-09 06:41:00+00:00,2.59
2024-05-09 06:42:00+00:00,2.5
2024-05-09 06:43:00+00:00,2.49
2024-05-09 06:44:00+00:00,2.57
2024-05-09 06:45:00+00:00,2.46
2024-05-09 06:46:00+00:00,2.14
2024-05-09 06:47:00+00:00,2.3
2024-05-09 06:48:00+00:00,1.58
2024-05-09 06:49:00+00:00,2.03
2024-05-09 06:50:00+00:00,2.28
2024-05-09 06:51:00+00:00,2.53
2024-05-09 06:52:00+00:00,2.39
2024-05-09 06:53:00+00:00,2.64
2024-05-09 06:54:00+00:00,2.59
2024-05-09 06:55:00+00:00,2.63
2024-05-09 06:56:00+00:00,2.8
2024-05-09 06:57:00+00:00,2.36
2024-05-09 06:58:00+00:00,2.23
2024-05-09 06:59:00+00:00,3.01
2024-05-09 07:00:00+00:00,2.9
2024-05-09 07:01:00+00:00,2.46
2024-05-09 07:02:00+00:00,3.34
2024-05-09 07:03:00+00:00,3.38
2024-05-09 07:04:00+00:00,3.26
2024-05-09 07:05:00+00:00,3.33
2024-05-09 07:06:00+00:00,2.88
2024-05-09 07:07:00+00:00,2.7
2024-05-09 07:08:00+00:00,2.48
2024-05-09 07:09:00+00:00,2.4
2024-05-09 07:10:00+00:00,2.34
2024-05-09 07:11:00+00:00,1.95
2024-05-09 07:12:00+00:00,1.64
2024-05-09 07:13:00+00:00,1.72
2024-05-09 07:14:00+00:00,1.72
2024-05-09 07:15:00+00:00,1.7
2024-05-09 07:16:00+00:00,1.67
2024-05-09 07:17:00+00:00,2.11
2024-05-09 07:20:00+00:00,1.63
2024-05-09 07:21:00+00:00,1.9
2024-05-09 07:22:00+00:00,1.43
2024-05-09 07:23:00+00:00,1.56
2024-05-09 07:24:00+00:00,1.73
2024-05-09 07:25:00+00:00,2.09
2024-05-09 07:26:00+00:00,1.88
2024-05-09 07:27:00+00:00,1.22
2024-05-09 07:28:00+00:00,0.99
2024-05-09 07:29:00+00:00,1.18
2024-05-09 07:32:00+00:00,0.55
2024-05-09 07:33:00+00:00,0.36
2024-05-09 07:34:00+00:00,1.1
2024-05-09 07:36:00+00:00,0.63
2024-05-09 07:37:00+00:00,0.71
2024-05-09 07:38:00+00:00,0.66
2024-05-09 07:39:00+00:00,0.46
2024-05-09 07:40:00+00:00,0.71
2024-05-09 07:41:00+00:00,0.51
2024-05-09 07:42:00+00:00,0.02
2024-05-09 07:43:00+00:00,0.02
2024-05-09 07:44:00+00:00,-0.08
2024-05-09 07:45:00+00:00,-0.07
2024-05-09 07:46:00+00:00,-0.07
2024-05-09 07:47:00+00:00,-0.08
2024-05-09 07:48:00+00:00,-0.01
2024-05-09 07:49:00+00:00,-0.21
2024-05-09 07:50:00+00:00,-0.24
2024-05-09 07:51:00+00:00,-0.36
2024-05-09 07:53:00+00:00,-0.43
2024-05-09 07:54:00+00:00,-0.23
2024-05-09 07:55:00+00:00,0.19
2024-05-09 07:56:00+00:00,0.09
2024-05-09 07:57:00+00:00,0.39
2024-05-09 07:58:00+00:00,1.14
2024-05-09 07:59:00+00:00,0.98
2024-05-09 08:00:00+00:00,0.52
2024-05-09 08:01:00+00:00,0.29
2024-05-09 08:02:00+00:00,0.6
2024-05-09 08:03:00+00:00,0.92
2024-05-09 08:04:00+00:00,-0.15
2024-05-09 08:05:00+00:00,-0.19
2024-05-09 08:06:00+00:00,-0.35
2024-05-09 08:07:00+00:00,-0.16
2024-05-09 08:08:00+00:00,-0.08
2024-05-09 08:09:00+00:00,0.09
2024-05-09 08:10:00+00:00,0.05
2024-05-09 08:11:00+00:00,-0.16
2024-05-09 08:12:00+00:00,0.04
2024-05-09 08:13:00+00:00,0.25
2024-05-09 08:14:00+00:00,0.21
2024-05-09 08:15:00+00:00,-0.15
2024-05-09 08:16:00+00:00,0.0
2024-05-09 08:18:00+00:00,0.02
