timestamp,SYM_H_index
2024-05-09 06:00:00+00:00,-1
2024-05-09 06:01:00+00:00,-1
2024-05-09 06:02:00+00:00,-1
2024-05-09 06:03:00+00:00,-1
2024-05-09 06:04:00+00:00,-1
2024-05-09 06:05:00+00:00,-1
2024-05-09 06:06:00+00:00,-1
2024-05-09 06:07:00+00:00,-1
2024-05-09 06:08:00+00:00,-1
2024-05-09 06:09:00+00:00,0
2024-05-09 06:10:00+00:00,0
2024-05-09 06:11:00+00:00,0
2024-05-09 06:12:00+00:00,0
2024-05-09 06:13:00+00:00,0
2024-05-09 06:14:00+00:00,0
2024-05-09 06:15:00+00:00,0
2024-05-09 06:16:00+00:00,0
2024-05-09 06:17:00+00:00,1
2024-05-09 06:18:00+00:00,1
2024-05-09 06:19:00+00:00,1
2024-05-09 06:20:00+00:00,1
2024-05-09 06:21:00+00:00,1
2024-05-09 06:22:00+00:00,1
2024-05-09 06:23:00+00:00,1
2024-05-09 06:24:00+00:00,1
2024-05-09 06:25:00+00:00,1
2024-05-09 06:26:00+00:00,1
2024-05-09 06:27:00+00:00,1
2024-05-09 06:28:00+00:00,1
2024-05-09 06:29:00+00:00,1
2024-05-09 06:30:00+00:00,1
2024-05-09 06:31:00+00:00,1
2024-05-09 06:32:00+00:00,1
2024-05-09 06:33:00+00:00,1
2024-05-09 06:34:00+00:00,0
2024-05-09 06:35:00+00:00,0
2024-05-09 06:36:00+00:00,0
2024-05-09 06:37:00+00:00,0
2024-05-09 06:38:00+00:00,0
2024-05-09 06:39:00+00:00,0
2024-05-09 06:40:00+00:00,0
2024-05-09 06:41:00+00:00,0
2024-05-09 06:42:00+00:00,0
2024-05-09 06:43:00+00:00,1
2024-05-09 06:44:00+00:00,1
2024-05-09 06:45:00+00:00,1
2024-05-09 06:46:00+00:00,1
2024-05-09 06:47:00+00:00,1
2024-05-09 06:48:00+00:00,1
2024-05-09 06:49:00+00:00,1
2024-05-09 06:50:00+00:00,1
2024-05-09 06:51:00+00:00,1
2024-05-09 06:52:00+00:00,1
2024-05-09 06:53:00+00:00,1
2024-05-09 06:54:00+00:00,1
2024-05-09 06:55:00+00:00,1
2024-05-09 06:56:00+00:00,0
2024-05-09 06:57:00+00:00,0
2024-05-09 06:58:00+00:00,0
2024-05-09 06:59:00+00:00,0
2024-05-09 07:00:00+00:00,0
2024-05-09 07:01:00+00:00,0
2024-05-09 07:02:00+00:00,0
2024-05-09 07:03:00+00:00,1
2024-05-09 07:04:00+00:00,0
2024-05-09 07:05:00+00:00,0
2024-05-09 07:06:00+00:00,0
2024-05-09 07:07:00+00:00,0
2024-05-09 07:08:00+00:00,0
2024-05-09 07:09:00+00:00,0
2024-05-09 07:10:00+00:00,0
2024-05-09 07:11:00+00:00,0
2024-05-09 07:12:00+00:00,0
2024-05-09 07:13:00+00:00,0
2024-05-09 07:14:00+00:00,-1
2024-05-09 07:15:00+00:00,-1
2024-05-09 07:16:00+00:00,-1
2024-05-09 07:17:00+00:00,-1
2024-05-09 07:18:00+00:00,-1
